Backlog,To do,Doing,Blocked,Done,date
1,3,2,0,4,2022-06-29
1,3,2,0,4,2022-06-29
1,3,2,0,4,2022-06-29
1,1,3,0,5,2022-06-29
1,1,3,0,5,2022-06-29
1,1,3,0,5,2022-06-29
1,1,3,0,5,2022-06-29
1,1,3,0,5,2022-06-29
1,1,3,0,5,2022-06-29
1,1,3,0,5,2022-06-29
1,1,3,0,5,2022-06-29
1,1,3,0,5,2022-06-29
1,1,3,0,5,2022-06-29
1,1,3,0,5,2022-06-29
1,1,3,0,5,2022-06-29
1,1,3,0,5,2022-06-29
1,1,3,0,5,2022-06-29
